id	NY AGI of All Returns	Taxable Income of All Returns
21986	5270.75	3057.75
21987	8766.19	6342.09
21988	968.18	396.47
21989	365623.72	223570.34
21990	7682.80	4460.80
21991	1856690.62	1398500.00
21992	364505.44	308871.97
21993	84154.15	65614.28
21994	7474.26	4373.64
21995	2824180.00	2270912.50
21996	1359.11	1020.19
21997	722.54	260.28
21998	-1559.43	413.69
21999	331220.28	264307.22
22000	100166.65	65932.39
22001	13735.55	9390.51
22002	6669.23	4176.65
22003	376465.34	319405.12
22004	1058905.00	785640.00
22005	40939.25	5603.81
22006	324477.25	236258.66
22007	953669.56	739926.62
22008	2699.61	810.25
22009	103825.06	55141.63
22010	133713.86	119269.19
22011	22327.47	16459.38
22012	83497.36	60220.39
22013	-2894.11	92.77
22014	18888.99	17792.73
22015	6907.06	3817.40
22016	99414.37	57688.86
22017	1483977.12	1331224.25
22018	95814.75	75131.82
22019	140919.36	102328.65
22020	14798.58	5785.06
22021	64591.24	9123.08
22022	1005.68	239.21
22023	4456.14	1886.80
22025	1189189.00	754565.62
22026	2296.68	758.66
22027	225422.55	174004.09
22028	16760.56	9467.23
22030	65854.42	50852.01
22031	-1790373.25	9577.09
22032	6246.04	1863.55
22034	358491.19	347655.47
22036	210550.11	120868.23
22037	981321.88	906835.31
22038	29221.01	4207.73
22039	1319.43	631.51
22040	411523.31	399730.91
22042	3675.44	2214.72
22043	63449.83	45665.28
22044	1494.41	956.43
22045	7983.58	4940.07
22046	6212.01	5257.55
22047	53629.09	41375.18
