id	NY AGI of All Returns	Taxable Income of All Returns
4	-2644.47	1.90
5	432.81	20.85
6	3036.93	661.39
7	7270.07	2359.97
8	6152.42	1917.60
9	3739.27	1193.84
10	3970.75	730.97
11	6458.87	2143.69
12	6862.51	1320.02
13	12201.63	4391.15
15	3595.86	1949.24
17	66076.30	28091.29
18	-9068.19	5.06
19	1323.11	120.24
20	4782.00	2028.95
21	6246.72	3876.60
22	8914.34	6302.78
23	8831.69	6759.85
24	10811.13	8574.18
25	15400.97	12574.88
26	20362.45	16846.58
27	51524.16	44298.82
28	12571.80	10727.75
29	56425.84	51199.44
31	307060.22	257993.06
32	495186.25	421308.19
33	-5450.70	3.83
34	1407.20	90.72
35	3754.17	1666.25
36	2990.74	1893.02
37	2697.11	1667.84
38	2509.18	1896.33
39	2547.40	2008.71
40	2877.09	1999.15
41	4115.55	3036.36
42	16511.36	11430.85
43	10146.23	7179.04
44	51413.22	42537.05
45	425045.69	340539.53
46	520564.25	415948.69
47	-1124.35	0.00
48	337.68	23.00
49	788.74	322.92
50	1103.95	544.27
51	1032.09	751.51
52	1457.85	1077.68
53	1579.45	1038.49
54	2163.40	1644.14
55	2357.31	1723.39
56	12001.67	9661.25
57	5997.35	5050.65
58	28076.52	24823.51
59	109866.61	100579.89
60	165638.27	147240.69
61	-31104.92	1.74
62	382.22	28.19
63	1302.01	484.74
64	1236.64	731.44
65	993.07	545.08
66	1468.04	968.23
67	926.67	690.35
68	1805.19	1254.08
69	2250.54	1844.06
70	9278.70	7163.19
71	3621.38	2778.01
72	19662.53	16509.91
73	108657.52	98459.29
74	120479.60	131458.31
75	-8360.83	0.00
76	982.24	99.40
77	2658.83	1205.19
78	3149.68	2081.33
79	2000.72	1473.62
80	1885.87	1483.49
81	1827.98	1439.24
82	2912.38	2417.45
83	4737.79	4048.12
84	9448.47	7424.35
85	2420.02	2220.17
86	9876.35	8797.94
87	22999.85	19900.58
88	56539.35	52590.89
89	-19.05	0.00
90	1861.59	102.58
91	1665.29	758.24
92	962.61	645.39
93	464.75	328.38
97	45785.27	39574.42
98	55862.46	45348.86
99	-14262.26	0.72
100	386.65	18.17
101	1982.16	237.00
102	3929.45	650.04
103	3420.62	509.50
104	4028.82	1069.14
105	2549.18	1090.02
106	2530.41	866.17
107	4098.60	2304.32
108	13246.39	9498.89
109	3408.81	2267.30
110	10858.49	9099.65
111	104891.31	90977.70
112	141068.62	118588.61
113	-6172.70	0.00
114	219.79	17.00
115	461.65	178.64
116	729.33	470.27
117	671.85	433.95
118	623.16	420.56
120	732.21	460.86
121	1572.21	987.19
122	3141.64	2772.27
124	7032.16	6135.90
125	40866.58	26776.54
126	51363.04	39767.40
127	-2309.31	0.00
128	196.85	13.05
129	769.24	313.13
130	607.55	365.32
131	769.04	564.68
132	641.71	477.88
133	728.41	588.88
134	1639.16	1218.54
135	2595.22	2072.26
136	10424.32	9076.64
137	5005.40	4077.69
138	22873.88	19602.92
139	168926.61	158162.88
140	212868.08	196533.84
141	3.46	0.00
142	79.44	6.50
153	9678.37	9131.59
154	-30594.61	1.99
155	396.64	37.17
157	1206.18	453.31
158	867.32	393.25
159	522.64	237.75
160	809.54	372.36
161	1056.93	654.73
162	967.91	656.41
163	3732.84	3000.51
165	4518.03	4320.90
166	55865.39	49919.05
167	41808.41	61229.89
168	-160.51	0.00
170	265.82	76.29
179	3708.69	2780.68
180	11282.17	10249.59
181	19055.96	14898.49
182	-48639.55	3.02
183	1465.65	157.44
184	1952.93	775.02
185	1747.62	1013.84
186	2260.40	1604.88
187	3093.32	2159.11
188	2613.74	1840.97
189	4736.80	3853.07
190	7442.50	5606.55
191	46927.36	37556.04
192	27240.82	21021.71
193	116459.21	96579.28
194	2151792.75	1998628.88
195	2319093.50	2170799.75
196	-29665.78	5.27
197	4832.06	318.68
198	9204.77	3701.49
199	9356.81	5506.29
200	8008.50	5307.11
201	6388.40	4246.20
202	6619.77	4441.25
203	11442.31	8081.99
204	13797.11	9211.51
205	53133.86	37057.62
206	26616.09	20029.73
207	122805.92	100493.54
208	1520050.50	1398825.00
209	1762590.38	1597225.75
210	-517054.69	139.48
211	19149.29	2071.19
212	56952.45	19972.40
213	75536.00	38476.59
214	79225.22	47074.49
215	82163.46	53971.79
216	80229.05	54957.12
218	111650.01	77923.52
219	165706.48	121319.81
220	476745.66	370888.22
221	172371.61	140406.70
222	617056.25	513581.22
225	-12419674.00	6367.40
226	236320.61	54079.13
227	815954.69	310939.41
228	1246801.62	637559.38
229	1627928.50	972458.19
230	2028343.62	1330759.50
231	2313847.00	1602274.50
232	3885915.25	2806658.75
239	-112779.63	1267.37
240	134868.09	18723.83
241	542305.94	222524.92
242	715247.94	425728.28
243	728276.25	502258.19
244	762232.00	569177.00
245	726906.25	561398.06
246	987561.00	791407.69
247	1424164.00	1178590.12
248	3505767.75	3047945.75
249	988947.50	893313.25
250	2168533.50	2004740.88
259	481.00	29.00
260	4049.00	1485.00
261	9139.00	5107.00
262	6654.00	4097.00
263	5845.00	3972.00
264	3469.00	2519.00
265	5066.00	3871.00
266	7118.00	5838.00
267	13930.00	12035.00
268	2282.00	1915.00
271	55975.00	44270.00
273	1314.00	96.00
274	5320.00	2289.00
275	7337.00	4774.00
276	10240.00	7527.00
277	9588.00	7484.00
278	11866.00	9679.00
279	16366.00	13638.00
280	22406.00	19401.00
281	50288.00	45708.00
282	14643.00	13790.00
283	55186.00	51948.00
284	382589.00	364712.00
285	574192.00	541049.00
287	1335.00	107.00
288	4457.00	2077.00
289	3548.00	2343.00
290	2606.00	1832.00
291	2719.00	2090.00
292	2695.00	2081.00
293	4036.00	3209.00
294	4877.00	4228.00
295	26249.00	23246.00
296	14199.00	12815.00
297	76438.00	70885.00
298	702115.00	631406.00
299	838366.00	756319.00
301	536.00	35.00
302	1152.00	500.00
303	1445.00	981.00
304	1393.00	1005.00
305	1491.00	1108.00
306	1628.00	1332.00
307	2666.00	2300.00
308	3782.00	3328.00
309	15022.00	13695.00
310	9860.00	8878.00
311	40020.00	37625.00
312	241809.00	187021.00
313	318480.00	257809.00
315	10870.00	785.00
316	35762.00	16646.00
317	20032.00	13755.00
318	46855.00	37363.00
319	15602.00	12894.00
320	14891.00	12798.00
321	21228.00	18711.00
322	18906.00	17196.00
323	39276.00	36697.00
324	7359.00	6935.00
325	43559.00	42219.00
326	1235369.00	1223940.00
327	1476634.00	1439944.00
329	1371.00	135.00
330	2616.00	1161.00
331	3170.00	2122.00
332	2069.00	1553.00
333	1904.00	1475.00
334	1868.00	1519.00
335	1868.00	1578.00
336	2577.00	2244.00
337	7823.00	7009.00
338	3085.00	2661.00
339	13290.00	12737.00
340	65185.00	55900.00
341	97852.00	90094.00
343	2809.00	133.00
344	2010.00	921.00
345	1400.00	963.00
346	901.00	695.00
347	562.00	465.00
351	2174.00	1918.00
353	3739.00	3306.00
354	21907.00	21564.00
355	36865.00	31242.00
357	456.00	18.00
358	2246.00	438.00
359	3787.00	1384.00
360	3158.00	1615.00
361	3821.00	2417.00
362	2630.00	1775.00
363	3687.00	2802.00
364	3896.00	2962.00
365	11915.00	10099.00
366	3930.00	3153.00
367	13117.00	11873.00
368	85640.00	71592.00
369	123877.00	110135.00
371	306.00	32.00
372	991.00	414.00
373	916.00	580.00
374	1162.00	903.00
375	1014.00	779.00
377	1066.00	878.00
378	1698.00	1473.00
379	3467.00	3169.00
381	8474.00	8202.00
382	71000.00	68065.00
383	85475.00	86216.00
385	268.00	15.00
386	983.00	380.00
387	646.00	327.00
388	1159.00	910.00
389	852.00	679.00
390	1162.00	963.00
391	1415.00	1222.00
392	1565.00	1398.00
393	11958.00	10931.00
394	5757.00	5195.00
395	36768.00	35320.00
396	266047.00	253851.00
397	326294.00	311193.00
399	73.00	6.00
400	211.00	74.00
401	319.00	198.00
407	2361.00	2089.00
408	17287.00	17042.00
409	23764.00	24071.00
411	430.00	32.00
412	1314.00	409.00
413	1371.00	642.00
414	736.00	438.00
415	753.00	495.00
417	725.00	549.00
418	984.00	837.00
419	2630.00	2236.00
422	66194.00	54841.00
423	45586.00	64936.00
425	164.00	18.00
426	352.00	137.00
427	238.00	153.00
433	1450.00	1326.00
436	33800.00	25235.00
437	36336.00	31591.00
439	2103.00	272.00
440	2505.00	1077.00
441	2715.00	1776.00
442	3432.00	2586.00
443	4459.00	3572.00
444	4505.00	3815.00
445	4862.00	4110.00
446	9912.00	8807.00
447	50518.00	46365.00
448	35992.00	33244.00
449	159096.00	149053.00
450	3173406.00	2976093.00
451	3292725.00	3230772.00
453	7338.00	424.00
454	10184.00	4407.00
455	10553.00	6772.00
456	9214.00	6732.00
457	9816.00	7689.00
458	7364.00	6057.00
459	12124.00	10206.00
460	17085.00	14887.00
461	63181.00	57048.00
462	29171.00	26659.00
463	140181.00	131666.00
464	1253017.00	1131458.00
465	1531420.00	1404012.00
467	15066.00	2104.00
468	50415.00	20700.00
469	64960.00	39515.00
470	71132.00	49769.00
471	73571.00	55247.00
472	73388.00	57296.00
473	97768.00	79567.00
474	146122.00	123104.00
476	406305.00	357415.00
477	143281.00	129658.00
478	498475.00	461585.00
479	3595662.00	2915634.00
482	242869.00	54038.00
483	843396.00	345523.00
484	1244553.00	702455.00
485	1668147.00	1098625.00
486	1993625.00	1411768.00
487	2325499.00	1717524.00
488	3879728.00	2955949.00
496	131707.00	18986.00
497	528820.00	228348.00
498	696530.00	437541.00
499	710826.00	510915.00
500	731591.00	565738.00
501	689749.00	551614.00
502	931374.00	766775.00
503	1317013.00	1114045.00
504	3205817.00	2833062.00
505	899746.00	823900.00
506	1987605.00	1856857.00
512	2956.00	671.00
513	9259.00	3319.00
514	13632.00	6287.00
515	13663.00	7362.00
516	16418.00	9508.00
517	17906.00	10676.00
518	27371.00	16743.00
519	42629.00	27317.00
520	120699.00	84024.00
521	45258.00	31105.00
522	155830.00	112417.00
523	3814715.00	2436514.00
525	1325.00	97.00
526	6182.00	2597.00
527	8583.00	5298.00
528	9309.00	6584.00
529	9673.00	7189.00
530	11489.00	8992.00
531	17399.00	14042.00
532	21817.00	17709.00
533	49485.00	43028.00
534	15673.00	13787.00
535	60273.00	55025.00
536	390648.00	356613.00
537	590771.00	530969.00
539	1265.00	106.00
540	4872.00	2183.00
541	3295.00	2045.00
542	2695.00	1529.00
543	2328.00	1517.00
545	2071.00	1385.00
546	2597.00	1581.00
547	3763.00	2902.00
548	23792.00	17603.00
549	12252.00	8516.00
550	70920.00	55837.00
551	886080.00	709991.00
552	1012215.00	805194.00
554	13194.00	1716.00
555	50139.00	23996.00
556	78646.00	55283.00
557	60473.00	47065.00
558	38659.00	31665.00
559	25932.00	22183.00
560	12071.00	10429.00
561	20211.00	18162.00
562	31718.00	28425.00
563	6906.00	6113.00
564	24792.00	21940.00
565	149797.00	140748.00
566	485706.00	407728.00
567	641.00	0.00
568	2673.00	112.00
569	1900.00	848.00
570	1345.00	905.00
571	524.00	329.00
572	547.00	390.00
576	2950.00	2435.00
577	5849.00	5202.00
578	27097.00	25442.00
579	45809.00	37519.00
581	1816.00	239.00
582	2003.00	816.00
583	3292.00	2022.00
584	3215.00	2131.00
585	3733.00	2633.00
586	4472.00	3149.00
587	5915.00	4123.00
588	10279.00	8224.00
589	52903.00	43742.00
590	31572.00	24781.00
591	175019.00	148246.00
595	10255.00	696.00
596	19128.00	7560.00
597	21154.00	11976.00
598	17734.00	10593.00
599	15437.00	10003.00
600	14959.00	10401.00
601	22287.00	16147.00
602	31081.00	23522.00
603	111211.00	82528.00
604	49276.00	38989.00
605	221710.00	187064.00
606	2285237.00	2090689.00
607	2710015.00	2490176.00
609	15052.00	1733.00
610	53595.00	18069.00
611	68868.00	33519.00
612	72736.00	41664.00
613	69373.00	43557.00
614	72767.00	47079.00
615	99014.00	68477.00
616	139928.00	100850.00
617	391945.00	305851.00
618	140331.00	112964.00
619	467888.00	398359.00
620	3753450.00	3253138.00
623	235064.00	50076.00
624	826568.00	311654.00
625	1349601.00	666801.00
626	1663611.00	976854.00
627	2008140.00	1311026.00
628	2306994.00	1579945.00
629	3841112.00	2724249.00
637	126300.00	16101.00
638	517320.00	209323.00
639	678699.00	400811.00
640	688198.00	471380.00
641	704212.00	520412.00
642	656431.00	506091.00
643	889251.00	707389.00
644	1232012.00	1010394.00
645	3023160.00	2614893.00
646	823393.00	741207.00
647	1846009.00	1698468.00
658	17840.00	7299.00
659	509.00	237.00
660	1863.00	830.00
661	221.00	111.00
662	1726.00	831.00
663	1688.00	672.00
664	51912.00	23498.00
665	63510.00	27403.00
666	704141.00	279782.00
667	551033.00	223688.00
668	19152.00	8175.00
669	2095.00	773.00
670	1362.00	578.00
671	726.00	335.00
672	1515.00	717.00
673	1172.00	542.00
674	43049.00	18633.00
675	67805.00	29154.00
676	669945.00	261072.00
677	510314.00	207540.00
678	19435.00	8421.00
679	2578.00	1032.00
680	1837.00	820.00
681	660.00	267.00
682	889.00	410.00
683	1010.00	406.00
684	44360.00	19691.00
685	74693.00	33407.00
686	681708.00	271395.00
687	500482.00	206337.00
688	18648.00	8362.00
689	2230.00	947.00
690	1322.00	566.00
691	693.00	290.00
692	854.00	357.00
693	1187.00	536.00
694	41205.00	18479.00
695	72171.00	31792.00
696	660754.00	271266.00
697	503629.00	210582.00
698	17871.00	8060.00
699	2382.00	1139.00
700	1428.00	655.00
701	1352.00	586.00
702	494.00	221.00
703	517.00	252.00
704	37016.00	16035.00
705	73567.00	32862.00
706	689527.00	293278.00
707	518089.00	223865.00
708	21396.00	9072.00
709	3598.00	1598.00
710	661.00	303.00
711	1471.00	671.00
712	374.00	109.00
713	270.00	111.00
714	15110.00	5951.00
715	90895.00	40698.00
716	655357.00	270411.00
717	492505.00	211037.00
718	178082.00	148968.00
719	6571.00	6096.00
721	2437.00	2247.00
723	29976.00	27343.00
724	253996.00	225857.00
725	389146.00	339905.00
727	2895145.00	2496163.00
728	165559.00	137261.00
729	12635.00	11411.00
731	5989.00	5511.00
732	2020.00	1813.00
733	4840.00	4439.00
734	246036.00	221584.00
735	405936.00	354810.00
737	2486264.00	2146089.00
738	167059.00	139156.00
739	13072.00	11849.00
740	2206.00	1980.00
741	9308.00	8509.00
742	8773.00	8097.00
744	240595.00	216319.00
745	528158.00	465760.00
747	2337167.00	2020278.00
748	157248.00	130425.00
749	11686.00	10608.00
750	1887.00	1659.00
751	7556.00	6745.00
752	8775.00	8087.00
753	1524.00	1348.00
754	222906.00	201464.00
755	542866.00	481020.00
757	2696016.00	2338549.00
758	140221.00	119054.00
759	10418.00	9599.00
760	2248.00	2037.00
761	10988.00	10177.00
762	1342.00	1222.00
763	7743.00	7139.00
764	217534.00	197187.00
765	574059.00	513434.00
767	3019314.00	2645581.00
768	210749.00	180281.00
769	17039.00	15614.00
770	5357.00	4919.00
771	5609.00	5096.00
772	3128.00	2572.00
773	9053.00	8334.00
774	116451.00	105774.00
775	677929.00	609145.00
777	2328243.00	2037648.00
778	20671.00	11490.00
779	500.00	312.00
780	651.00	406.00
781	277.00	188.00
782	1638.00	1092.00
783	1859.00	1222.00
784	54964.00	34601.00
785	68671.00	41275.00
786	1045164.00	578444.00
787	723950.00	430018.00
788	21747.00	11680.00
789	3438.00	2217.00
790	923.00	583.00
791	856.00	563.00
792	1331.00	873.00
793	636.00	425.00
794	45736.00	27368.00
795	70294.00	42106.00
796	1033756.00	567142.00
797	651897.00	387844.00
798	23160.00	12714.00
799	3187.00	2021.00
800	928.00	595.00
801	902.00	557.00
802	803.00	532.00
803	45025.00	27049.00
804	81605.00	49306.00
805	1077141.00	601536.00
806	630459.00	380497.00
807	22551.00	12968.00
808	3347.00	2195.00
809	830.00	568.00
811	1087.00	630.00
812	800.00	497.00
813	424.00	282.00
814	40564.00	24508.00
815	82585.00	50062.00
816	1075835.00	620514.00
817	448.00	354.00
818	665378.00	408548.00
819	22420.00	13085.00
820	4207.00	2751.00
821	911.00	611.00
822	965.00	633.00
823	383.00	245.00
824	585.00	369.00
825	36812.00	22298.00
826	89996.00	54650.00
827	1126516.00	666105.00
828	697409.00	436221.00
829	25995.00	15131.00
830	6184.00	4044.00
831	538.00	314.00
832	954.00	653.00
833	613.00	317.00
835	15661.00	9144.00
836	105847.00	64348.00
837	1086886.00	643805.00
838	649866.00	406124.00
840	11327.00	11062.00
842	81829.00	79878.00
844	1372185.00	1341921.00
845	3356829.00	2807563.00
846	2778311.00	2447507.00
848	3440571.00	2392595.00
849	87199.00	85713.00
851	49131.00	45671.00
853	460388.00	442076.00
854	2464907.00	2234985.00
855	1974184.00	1744460.00
857	2486580.00	1802513.00
858	46364.00	44991.00
859	7615.00	7435.00
860	39837.00	35093.00
861	24055.00	21568.00
863	2256572.00	2125486.00
866	2416874.00	1833949.00
867	82451.00	80459.00
868	6191.00	6039.00
869	56267.00	54477.00
870	60613.00	59769.00
872	2594148.00	2460745.00
875	2991906.00	2319357.00
876	62022.00	57895.00
877	11085.00	10777.00
878	55593.00	31906.00
879	82702.00	79107.00
880	3309999.00	3131195.00
884	178370.00	175026.00
885	41939.00	40706.00
886	54688.00	53855.00
887	26896.00	24932.00
888	105365.00	103071.00
889	1810854.00	1758341.00
892	23730.00	14697.00
893	830.00	597.00
894	410.00	303.00
895	344.00	258.00
896	759.00	530.00
897	1227.00	927.00
898	1034.00	683.00
899	51199.00	35775.00
900	70375.00	48105.00
901	1494246.00	966480.00
902	767450.00	527403.00
903	23454.00	14685.00
904	4408.00	3069.00
905	449.00	353.00
906	958.00	708.00
907	944.00	687.00
908	525.00	393.00
909	42401.00	29245.00
910	77025.00	52933.00
911	1502990.00	969399.00
912	693686.00	478407.00
913	28035.00	17784.00
914	4056.00	2916.00
915	747.00	600.00
916	832.00	579.00
917	1001.00	766.00
919	111.00	6.00
920	40525.00	27984.00
921	91256.00	62960.00
922	1586905.00	1040485.00
923	674832.00	471228.00
924	26294.00	16921.00
925	3649.00	2682.00
926	978.00	642.00
928	39486.00	27298.00
929	97926.00	67520.00
930	1609813.00	1079348.00
931	731927.00	518864.00
932	25234.00	16713.00
933	4626.00	3354.00
934	461.00	313.00
935	1440.00	1060.00
937	598.00	441.00
938	36078.00	25210.00
939	108506.00	76200.00
940	1660211.00	1134819.00
941	776902.00	555872.00
942	30517.00	20280.00
943	6398.00	4725.00
944	384.00	297.00
945	800.00	609.00
946	621.00	367.00
947	595.00	454.00
948	15594.00	10744.00
949	122349.00	84678.00
950	1626007.00	1109453.00
951	681989.00	486501.00
953	27051.00	18237.00
954	1191.00	932.00
956	844.00	644.00
957	1960.00	1577.00
958	45853.00	34335.00
959	73877.00	54228.00
960	1874775.00	1304368.00
961	760960.00	559044.00
962	26276.00	17894.00
963	5147.00	3941.00
965	422.00	325.00
966	767.00	600.00
967	440.00	351.00
968	42271.00	31470.00
969	76352.00	55792.00
970	1880034.00	1309785.00
971	679617.00	501268.00
972	28753.00	19389.00
973	4698.00	3658.00
974	632.00	487.00
975	1154.00	847.00
976	766.00	619.00
978	39917.00	29945.00
980	97361.00	71957.00
981	1926173.00	1358240.00
982	658149.00	490156.00
983	28944.00	20403.00
984	4519.00	3507.00
985	684.00	530.00
986	864.00	648.00
987	792.00	643.00
989	36050.00	27284.00
990	103005.00	76162.00
991	1933039.00	1390763.00
992	691790.00	521237.00
993	24154.00	16786.00
994	5501.00	4306.00
995	713.00	527.00
996	910.00	753.00
998	900.00	740.00
999	34265.00	25894.00
1000	111027.00	82530.00
1001	2003778.00	1465066.00
1002	749332.00	570768.00
1003	32643.00	23395.00
1004	7298.00	5852.00
1005	743.00	551.00
1006	862.00	697.00
1007	503.00	352.00
1008	624.00	470.00
1009	16572.00	12512.00
1010	121490.00	89756.00
1011	1925437.00	1406424.00
1012	652413.00	496097.00
1013	5266.00	1241.00
1014	136.00	14.00
1015	641.00	56.00
1016	178.00	20.00
1017	567.00	34.00
1018	878.00	68.00
1019	19882.00	1620.00
1020	18362.00	2621.00
1021	200167.00	41438.00
1022	131033.00	18876.00
1023	5092.00	1321.00
1024	540.00	44.00
1025	602.00	58.00
1026	370.00	24.00
1027	865.00	64.00
1028	3544.00	139.00
1029	14639.00	1260.00
1030	18816.00	2622.00
1031	188390.00	37568.00
1032	122928.00	17567.00
1033	4859.00	1376.00
1034	597.00	66.00
1035	715.00	66.00
1036	334.00	35.00
1037	445.00	29.00
1038	3487.00	117.00
1039	13187.00	1237.00
1040	21273.00	3112.00
1041	180371.00	37771.00
1042	116605.00	17295.00
1043	4487.00	1184.00
1044	504.00	49.00
1045	484.00	51.00
1046	225.00	23.00
1047	264.00	27.00
1048	2687.00	95.00
1049	13139.00	1379.00
1050	19576.00	2960.00
1051	173756.00	38561.00
1052	117047.00	17848.00
1053	4167.00	1193.00
1054	627.00	50.00
1055	673.00	65.00
1056	552.00	61.00
1057	1676.00	45.00
1058	214.00	29.00
1059	10575.00	1091.00
1060	19320.00	2983.00
1061	170969.00	39535.00
1062	115187.00	19094.00
1063	5849.00	1607.00
1064	1096.00	115.00
1065	685.00	79.00
1066	157.00	45.00
1067	86.00	28.00
1068	5003.00	403.00
1069	27744.00	4531.00
1070	167133.00	37306.00
1071	111074.00	18017.00
1072	26087.00	18582.00
1073	1151.00	948.00
1076	715.00	532.00
1077	3091.00	2493.00
1078	45463.00	35864.00
1079	71837.00	54490.00
1080	2101435.00	1524966.00
1081	688730.00	526346.00
1082	27595.00	19286.00
1083	3985.00	3269.00
1084	537.00	441.00
1085	636.00	519.00
1086	694.00	491.00
1087	38790.00	30763.00
1088	70741.00	54051.00
1089	2063367.00	1496513.00
1090	599763.00	459994.00
1091	28611.00	20340.00
1092	4092.00	3326.00
1094	747.00	622.00
1095	885.00	704.00
1096	32801.00	25767.00
1097	93638.00	71883.00
1098	2129311.00	1563859.00
1099	579061.00	447365.00
1100	31016.00	22263.00
1101	3618.00	2824.00
1103	761.00	606.00
1104	716.00	581.00
1106	29473.00	23319.00
1107	94390.00	72839.00
1108	2156821.00	1608484.00
1109	635511.00	496624.00
1110	26529.00	19616.00
1111	3572.00	2900.00
1112	646.00	501.00
1113	1185.00	940.00
1115	886.00	720.00
1116	32229.00	25605.00
1117	99027.00	76927.00
1118	2155557.00	1631655.00
1119	688852.00	544977.00
1120	34684.00	25951.00
1121	3999.00	3196.00
1123	865.00	752.00
1125	561.00	447.00
1126	13862.00	11037.00
1127	107078.00	83614.00
1128	2051907.00	1551254.00
1129	574715.00	454318.00
1131	40542.00	29683.00
1134	3534.00	2984.00
1135	57272.00	46004.00
1136	94985.00	75604.00
1137	3433635.00	2565727.00
1138	929630.00	733668.00
1139	40869.00	30269.00
1140	5670.00	4758.00
1141	1005.00	839.00
1142	1089.00	876.00
1143	731.00	641.00
1144	52491.00	42776.00
1145	97388.00	76783.00
1146	3372426.00	2529325.00
1147	820938.00	652175.00
1148	44719.00	32807.00
1149	5253.00	4201.00
1151	1438.00	1206.00
1152	1551.00	1314.00
1154	53733.00	43920.00
1155	127895.00	101653.00
1156	3468482.00	2623004.00
1157	782599.00	624399.00
1158	41879.00	31511.00
1159	3998.00	3311.00
1160	666.00	586.00
1161	739.00	658.00
1162	1500.00	1308.00
1164	49059.00	40675.00
1165	131982.00	105780.00
1166	3447397.00	2643701.00
1167	854001.00	688958.00
1168	35515.00	27166.00
1169	3393.00	2890.00
1171	1427.00	1240.00
1173	694.00	566.00
1174	43638.00	35785.00
1175	129367.00	104959.00
1176	3423692.00	2664355.00
1177	934343.00	762372.00
1178	49704.00	38447.00
1179	4937.00	4258.00
1180	665.00	559.00
1181	1556.00	1336.00
1182	755.00	603.00
1183	1189.00	997.00
1184	22432.00	18690.00
1185	141338.00	115017.00
1186	3250573.00	2533706.00
1187	815706.00	664715.00
1188	64283.00	49392.00
1193	5916.00	5170.00
1194	91544.00	76750.00
1195	137888.00	112254.00
1197	1291985.00	1056173.00
1198	61976.00	47895.00
1199	5686.00	4794.00
1201	1815.00	1612.00
1204	86848.00	74005.00
1205	142209.00	116161.00
1207	1158037.00	952379.00
1208	66917.00	51981.00
1209	6510.00	5515.00
1210	1082.00	933.00
1211	2691.00	2348.00
1212	2282.00	2060.00
1214	77751.00	65693.00
1215	180874.00	149235.00
1217	1074108.00	885823.00
1218	66050.00	51197.00
1219	5463.00	4713.00
1221	2478.00	2187.00
1222	2333.00	2038.00
1224	72131.00	62035.00
1225	186267.00	156821.00
1227	1197545.00	996082.00
1228	52905.00	42390.00
1229	5049.00	4396.00
1230	1210.00	1029.00
1231	2897.00	2568.00
1233	1124.00	989.00
1234	68269.00	58776.00
1235	192578.00	161991.00
1237	1315003.00	1104473.00
1238	74942.00	60601.00
1239	7618.00	6753.00
1240	1141.00	991.00
1241	2740.00	2440.00
1242	1016.00	811.00
1243	1342.00	1175.00
1244	35421.00	30670.00
1245	208125.00	175293.00
1247	1109815.00	932836.00
1249	23841.00	21462.00
1250	9527.00	6903.00
1251	86430.00	83617.00
1252	9733.00	6612.00
1253	1422769.00	1384377.00
1255	3773366.00	3203599.00
1258	3833797.00	2681195.00
1259	131082.00	119994.00
1260	11760.00	9104.00
1261	62023.00	56109.00
1262	13882.00	8173.00
1263	475776.00	449805.00
1264	3083982.00	2712149.00
1265	3007081.00	2529148.00
1268	2899546.00	2106620.00
1269	90733.00	79575.00
1270	16986.00	13690.00
1271	58026.00	50063.00
1272	41607.00	36104.00
1273	10626.00	3681.00
1274	2850442.00	2583167.00
1278	2815318.00	2129346.00
1279	121681.00	111298.00
1280	13849.00	11342.00
1281	71791.00	66946.00
1282	77739.00	73949.00
1283	15545.00	6153.00
1284	3142692.00	2887240.00
1288	3342119.00	2583566.00
1289	102027.00	89289.00
1290	20155.00	16983.00
1291	77448.00	49924.00
1292	15750.00	11675.00
1293	96052.00	90355.00
1294	3830360.00	3539156.00
1299	236943.00	221195.00
1300	51918.00	48917.00
1301	70329.00	66188.00
1302	34337.00	30280.00
1303	119338.00	115208.00
1304	2069325.00	1963293.00
1308	1836.00	187.00
1309	67.00	0.00
1310	214.00	0.00
1311	60.00	0.00
1312	199.00	0.00
1313	455.00	1.00
1314	8673.00	64.00
1315	6404.00	206.00
1316	75927.00	4769.00
1317	31250.00	1513.00
1318	1506.00	136.00
1319	280.00	6.00
1320	222.00	3.00
1321	115.00	3.00
1322	221.00	0.00
1323	2492.00	0.00
1324	6814.00	60.00
1325	6331.00	275.00
1326	66180.00	4584.00
1327	27873.00	1348.00
1328	1418.00	139.00
1329	323.00	0.00
1330	284.00	1.00
1331	123.00	0.00
1332	156.00	4.00
1333	2629.00	0.00
1334	5977.00	75.00
1335	6534.00	299.00
1336	60344.00	4845.00
1337	25059.00	1329.00
1338	1325.00	161.00
1339	216.00	4.00
1340	157.00	2.00
1341	87.00	0.00
1342	114.00	0.00
1343	2248.00	0.00
1344	4531.00	54.00
1345	6809.00	330.00
1346	55105.00	4583.00
1347	24994.00	1363.00
1348	1199.00	145.00
1349	230.00	9.00
1350	256.00	6.00
1351	139.00	0.00
1352	1589.00	0.00
1353	89.00	3.00
1354	3945.00	82.00
1355	6284.00	271.00
1356	50554.00	4455.00
1357	23160.00	1342.00
1358	1526.00	172.00
1359	406.00	14.00
1360	45.00	0.00
1361	99.00	0.00
1362	60.00	7.00
1363	60.00	2.00
1364	2365.00	27.00
1365	8818.00	367.00
1366	48304.00	4160.00
1367	22505.00	1337.00
1369	3447.00	651.00
1370	12268.00	4068.00
1371	14339.00	6370.00
1372	16208.00	7997.00
1373	18107.00	9804.00
1374	19479.00	11236.00
1375	23300.00	13963.00
1376	42165.00	26961.00
1377	119456.00	81115.00
1378	41113.00	28457.00
1379	143858.00	98128.00
1380	2219552.00	1399125.00
1381	2318100.00	1687960.00
1383	1227.00	107.00
1384	5812.00	2470.00
1385	8375.00	5229.00
1386	10604.00	7349.00
1387	10289.00	7665.00
