id	NY AGI of All Returns	Taxable Income of All Returns	Cluster
18434	106494.00	33527.00	5
18435	139.00	54.00	5
18436	2941364.00	2198114.00	3
18437	17639.00	12765.00	5
18438	118361.00	83701.00	5
18440	90553.37	64843.46	5
18441	1679671.75	1275195.38	2
18442	58095.00	40455.00	5
18443	1027706.00	842124.00	4
18444	353117.00	273705.00	1
18445	19964.00	5009.00	5
18446	9962.00	7559.00	5
18447	2235503.00	1306822.00	2
18448	127252.00	115178.00	5
18449	8907.00	4985.00	5
18450	287516.00	279632.00	1
18451	157855.00	104090.00	5
18452	8025.00	512.00	5
18453	3854.00	2274.00	5
18454	22156.00	21035.00	5
18455	14472.00	944.00	5
18456	20711.00	14834.00	5
18457	638661.00	440398.00	1
18458	46267.00	45854.00	5
18459	454399.00	334058.00	1
18460	13416.00	12385.00	5
18461	99668.00	70507.00	5
18462	39061.00	30855.00	5
18463	322305.47	232338.77	1
18464	54238.00	41261.00	5
18465	30765.00	3990.00	5
18466	134050.00	104429.00	5
18467	89968.00	30141.00	5
18468	1683703.00	1146978.00	2
18469	1212616.00	901822.00	4
18470	380322.00	295503.00	1
18471	4317.00	168.00	5
18472	117698.00	82975.00	5
18473	34619.00	29170.00	5
18474	260076.00	168680.00	1
18475	1098491.00	784000.00	4
18476	221122.00	156185.00	1
18477	109596.00	83886.00	5
18478	2371502.00	1918732.00	2
18479	120906.00	78076.00	5
18480	98278.00	54062.00	5
18481	694964.00	493770.00	1
18482	128285.00	19827.00	5
18483	12484.00	9907.00	5
18484	150676.00	119175.00	5
18485	702645.00	514889.00	4
18487	2164879.00	1403353.00	2
18488	1587.00	883.00	5
18489	3008.00	2246.00	5
18490	25698.00	19245.00	5
18491	309290.00	239651.00	1
18492	36211.00	29771.00	5
18493	459700.00	338782.00	1
18494	52661.00	43557.00	5
18495	38829.00	29623.00	5
18496	8349.00	5784.00	5
18497	5769.00	2742.00	5
18498	10392.00	628.00	5
18499	60947.00	22869.00	5
18500	70164.00	58962.00	5
18501	674327.00	478287.00	1
18502	136637.00	97404.00	5
18503	72418.00	51342.00	5
18504	63433.16	42463.50	5
18505	727502.00	233092.00	1
18506	33449.00	17409.00	5
18508	152192.55	110068.99	5
18509	59324.00	58492.00	5
18510	15580.00	1804.00	5
18511	21165.00	14907.00	5
18512	352544.00	116753.00	1
18513	3053.00	2280.00	5
18514	11091.00	8227.00	5
18515	46674.00	40457.00	5
18516	499197.00	433520.00	1
18517	-144748.12	107.06	5
18518	52025.00	41123.00	5
18519	440146.00	155251.00	1
18520	30740.00	21025.00	5
18521	35171.00	12051.00	5
18522	1250353.00	854530.00	4
18523	6634.00	301.00	5
18524	17421.00	10623.00	5
18525	61852.50	53369.46	5
18526	302511.00	295275.00	1
18527	2019.00	1449.00	5
18528	14093.00	2035.00	5
18529	7005.00	3708.00	5
18530	225663.00	131026.00	1
18531	2308313.00	1832661.00	2
18532	620688.00	523934.00	1
18533	98894.00	70316.00	5
18534	225187.00	130617.00	1
18535	665804.00	601553.00	4
18536	324201.00	180140.00	1
18537	1159.00	482.00	5
18538	33758.00	32965.00	5
18539	1622.00	1001.00	5
18540	2921.19	1461.97	5
18541	103985.00	56887.00	5
18542	42909.00	40496.00	5
18543	948638.00	347521.00	4
18544	2945.00	2070.00	5
18545	2195602.00	1499515.00	2
18546	375118.00	316677.00	1
18547	10053.14	1551.60	5
18548	397222.00	378901.00	1
18549	24881.00	21168.00	5
18550	148322.00	119747.00	5
18551	156045.00	109417.00	5
18552	54091.31	15266.87	5
18553	44578.00	29555.00	5
18554	115245.00	7811.00	5
18555	2216107.00	1552255.00	2
18556	1778939.00	1014775.00	2
18557	116497.00	99202.00	5
18559	7140.00	5388.00	5
18560	195581.00	132898.00	1
18561	57044.00	36933.00	5
18562	146314.00	95549.00	5
18563	20510.00	1214.00	5
18564	10018.00	9295.00	5
18565	749518.00	269661.00	1
18566	1602644.00	1278341.00	2
18567	19774.00	2825.00	5
18568	137633.00	89924.00	5
18570	329584.00	270985.00	1
18571	-173111.88	100.78	5
18572	86782.00	66512.00	5
18573	18638.00	2544.00	5
18574	299120.00	221150.00	1
18575	2533846.00	2365482.00	3
18576	6474.00	349.00	5
18577	5017.00	3470.00	5
18578	2000.61	908.01	5
18579	526103.81	486415.81	1
18580	129399.00	119492.00	5
18581	34580.00	4165.00	5
18582	9919.00	1146.00	5
18583	33798.00	4445.00	5
18584	4748.00	3705.00	5
18586	337200.00	248112.00	1
18587	100487.00	55205.00	5
18588	71425.00	65946.00	5
18589	98274.00	83515.00	5
18590	34475.00	24641.00	5
18591	106807.00	85736.00	5
18592	79994.00	52186.00	5
18594	23264.00	3867.00	5
18596	1986705.00	1481487.00	2
18597	6248.00	810.00	5
18598	2618.00	1466.00	5
18599	116514.00	87246.00	5
18600	1424443.00	785692.00	4
18601	77919.00	54477.00	5
18602	1495480.00	1144433.00	4
18603	542.00	72.00	5
